Mensaje,Fecha
Para mí Sofi linda ,2/3/2024
me caes mal bro,2/1/2024
te amo mucho mucho ,2/4/2024
Para cuando el remember ,2/1/2024
come cómo chupas ,2/1/2024
Para que no seas espectadora 💞,2/6/2024
"Espero te guste amor,  te amo.",1/31/2024
Te extraño :c,1/30/2024
TOY EN TU CESPED CREAM CRACKER,1/25/2024
Te quiero cozaron,2/5/2024
Te había dicho que te quiero<3,2/9/2024
lobe youuuus luluu <3 ,1/29/2024
Te quiero mucho sosa ,1/26/2024
Feliz Dia profe,2/7/2024
Que tengas un bonito dia Cami!,2/2/2024
Tqm  Me perdonas? 🗿💧,2/7/2024
para que tengas un regalo,2/10/2024
feliz san valentin ,2/7/2024
Feliz san valentin amor ,2/5/2024
Tecueme corazen,2/1/2024
"Amor intenso, eterno fuego",2/6/2024
Tu amiga secreta <3,2/9/2024
SOLO ES LA ENTRADA,2/8/2024
TE QUIERO MUCHO <3,1/25/2024
Para mi peke amigo <3,2/2/2024
te amo linda,2/9/2024
Te amo fiore,2/7/2024
"TQM Crisis,Crayolaa",2/3/2024
Tq bro,2/6/2024
Ñam,2/9/2024
Te amo mi niño hermoso,1/26/2024
thank you to be with me 🥰,2/8/2024
gracias por ser la mejor chica,2/8/2024
Hi,2/9/2024
Una de tus admiradoras 🩷,1/30/2024
Para mí Cobe fav ,2/7/2024
Gracias por siempre cuidarme ,2/7/2024
Siempre serás mi gran amor ,2/6/2024
Feliz san Valentín mi niña😘,2/7/2024
I love you princess,2/8/2024
Te quiero mucho  ♡ ♡ ♡,2/9/2024
Te quiero mucho...,2/9/2024
te amo muxho miamor:d,2/6/2024
Te quiero bro,2/1/2024
"Haces vida más feliz, tqm 🤍",2/10/2024
"Gracias por todo,ojala vernos+",1/31/2024
:) oli,2/2/2024
TE AMO ,1/25/2024
Saludos ,2/1/2024
≽^•⩊•^≼,2/1/2024
Tqm ambar pasala bonito ,2/5/2024
Yo te quiero más ,2/9/2024
"feliz día linda, muamua",1/25/2024
T dije q iba a mandar algo :D,1/28/2024
Tq,2/8/2024
espero q te guste🐢,2/7/2024
te extraño ,2/3/2024
Feliz San Valentin amor💕💗,2/7/2024
Mua mua ,2/9/2024
Para my lil honey TAM <33,2/6/2024
Disfruta minion andante uwu,2/1/2024
Por ser una excelente hermana,2/8/2024
T amoo linda,2/5/2024
Con cariño de tus negros,2/9/2024
te amo mi wawa,2/8/2024
te amo Domenico ,2/5/2024
Te extraño 🤍🫂,2/2/2024
cachos,2/1/2024
pana ya deja la wbd ,2/10/2024
Holiiii espero que te gusten,2/1/2024
"Gracias por todo, te quiero.",2/7/2024
soy una niña muy feliz ,2/7/2024
De tu cuñado fav <3,2/9/2024
Para ser buena persona x 1 día,2/8/2024
TE AMO,2/9/2024
Para mi Colombiano ,2/8/2024
I love yu mi amer guapota,2/3/2024
"Me gustas,hablemos más 😻😻😻",2/5/2024
te quiero tonta ,2/6/2024
T amo bby,2/5/2024
Te amo mucho,1/29/2024
Eres lo más lindo que tengo <3,2/7/2024
Lo que te devia mimor,2/1/2024
Con mucho cariño ,2/5/2024
Ve por ser mi pendeje 🤍,2/8/2024
Para la que se olvida 🤗,1/31/2024
Ten lindo día primo ,2/4/2024
quisiera q seamos algo mas ...,2/8/2024
Te amo guapa ,1/30/2024
No soy Karen:),2/9/2024
"Te quiero, gracias por todo ",2/8/2024
Feliz día mi princesa ❤️,2/8/2024
T quiero más a ti q a tu primo,2/8/2024
Sapa💗💗,2/7/2024
Para mi vidaa 😘💗,2/6/2024
Para mi primo favorito,2/5/2024
te amo mas que a la donoso,2/9/2024
Se te quiere pitufa,1/30/2024
te amo muchísimo💘,2/7/2024
feliz San Valentín  <3,2/7/2024
kiarita mua,2/7/2024
No me imaginé q funcionaba así,2/9/2024
Te quiero perre! Supérala ya!❤️,2/7/2024
te amo mi isa,2/6/2024
Te amo wuape<3,2/9/2024
Ti amo,1/29/2024
Feliz día de la amistad tqm,2/8/2024
El niño de su vida ♡,2/9/2024
Juaanaa,1/28/2024
Se te quiere Gil ,2/8/2024
te amo mucho mi dúo de fort 🥰,2/5/2024
El enanito de tu cuento ❆ ,2/2/2024
Para la persona más especial. ,2/8/2024
Olatextrañoyteamobay,1/31/2024
😍,2/8/2024
>3,2/4/2024
Ola,2/5/2024
Para mi mejor amiga 🤍,2/6/2024
Otro pq si jahsja mua,1/26/2024
Por ser un gran chico ,2/2/2024
:),1/30/2024
Te amo mi Cami linda ,2/7/2024
🦖rarw🦖,1/30/2024
para tu,2/6/2024
Tq altotee,2/7/2024
Te quiero bobo ,2/5/2024
"Disfruta Vale, no te preocupes",2/9/2024
Feliz San Valentín princesa ♡︎,1/29/2024
I love you Cami <3,2/8/2024
Te amo Pequeño ❤️,1/31/2024
mi jugador fav de td el mundoo,2/3/2024
lindaa✨❤️,1/31/2024
Happy Valentine's day 🩷🧡,2/7/2024
Chocolates para el corazón ,1/29/2024
besitos en donde te gusta 😘,2/9/2024
Feliz San Valentin corazon ily,2/7/2024
"Te amo, besos 😘",2/4/2024
Mua <3,2/6/2024
Te amo sapa ,1/29/2024
tamo mi arii ,1/31/2024
Espero te gusten tkm ♥️,2/7/2024
Te amo :D ,2/6/2024
Loquita :),2/9/2024
Nuestro 1 san val juntos teamo,2/7/2024
Te quiero corazón ,2/7/2024
tqm Ameluuu,2/8/2024
The Weeknd - Try Me,2/3/2024
"Tqm, Feliz san Valentín ",2/7/2024
T quiero mucho Paudaab,2/6/2024
Mandarina favorito ,2/6/2024
💗💗,2/6/2024
de un amigo a otro ,2/5/2024
Tqm juli espero que te guste,2/3/2024
Te amu mejor amiga ,2/5/2024
Te amo Danae ❤️,2/6/2024
espero que te guste,2/2/2024
Sapo tqm,1/28/2024
Te quiero mucho mi Chuquiii <3,2/7/2024
Carajeo ,1/29/2024
te extraño ;c att: JD,2/7/2024
Amiguito soy pobre 🥲,2/6/2024
TQM mi Zawiii♡,2/6/2024
Ti amo ,2/1/2024
Te quiero mucho♡,2/8/2024
Cuñadaaaaa 💗,1/25/2024
"Te amo infinito, isabellita. ",2/6/2024
déjalo y ven conmigo ,2/5/2024
Tqmmm ❣️🧡🩶,2/7/2024
para tu shantal jeje >:D,2/2/2024
Te quierooooo MUAK ,2/8/2024
Te amo negra ❤️ Happy valentine,2/7/2024
Espero que te guste,2/5/2024
Te quiero profe <3 ur the best,2/8/2024
Te quiero enana ,1/30/2024
Come tomates chatias,2/1/2024
Te quiero mucho negra❤️,2/5/2024
Te quiero amiga ❤️,2/9/2024
Te escribí por ig :),1/30/2024
la unica cachorro,2/4/2024
teamomylady,2/7/2024
Que baboza Fabritsia ,2/6/2024
Te amo bianca ,1/28/2024
"Tamo mi amor linda, hermosa 🤍🤍",1/31/2024
tq fea,2/7/2024
Zorrota,2/7/2024
att: A.P,2/8/2024
Feliz San Valentín romii,1/25/2024
Tamo bonito ♡♡,2/6/2024
t quiero montones amiguita ,2/8/2024
Tqm(ya voy a mejorar en voley),2/7/2024
Te amo ,2/5/2024
Te quiero mucho mi negro :),2/8/2024
Feliz San Valentín Sofi :],1/29/2024
Te amo gorda feliz día ,1/26/2024
Para mi hermanita la célula,2/6/2024
Para la más guapa y deportiva,2/6/2024
Eres la luz q ulimina mi vida,2/5/2024
Para mí fekaa 💕,2/1/2024
T amo m niña d parte de tu bb,2/8/2024
te estaño :d,2/8/2024
I love you,2/9/2024
me debes un dólar ,2/7/2024
De parte de el tímido (Nico),2/6/2024
"Te quiero full brni:,(",2/6/2024
૮꒰ ˶• ༝ •˶꒱ა ♡ Te extraño ,2/7/2024
"🫂Te lo mereces, te esforzaste🤗",2/5/2024
i luv uuuu eveeeee eres lo max,2/7/2024
Zorra ,2/8/2024
t amo ,2/7/2024
TE AMO ,1/29/2024
 Tqm valeee,1/26/2024
feliz san valentin snoopy ,2/6/2024
Feliz San Valentín Mi amor ❤️,1/26/2024
Te adoro desgraciado ,2/5/2024
Te quiero bb 💕,2/8/2024
Eres la mejor nv❤️ del mundo,2/7/2024
Te quiero mucho poste de luz,2/5/2024
Feliz dia de la amistad ,2/10/2024
🐢💖,2/7/2024
De Pau,1/29/2024
Perdón ,2/8/2024
Feliz primer 14❤️,2/8/2024
Me caes un patito mal❤️,2/9/2024
Feliz san Valentín   Miss you ,2/5/2024
Nunca hablamos ig jprivera06,2/7/2024
que pases bien este dia ,1/26/2024
Feliz san Valentín 🌹,1/26/2024
Teamodeaquíhastaelinfinito <3,2/5/2024
te quieroo parcceee,2/1/2024
tqm pelos tiesos,2/7/2024
Feliz Día TQM ,1/31/2024
Feliz San Valentín Luito <3,2/8/2024
BFF AMIGFA MIA DEL ALMA ,2/8/2024
T quiero mucho Emii 💗,2/6/2024
Hazme caso Juanse :(,1/24/2024
Mome tqm 🫶,2/10/2024
Te Quiero mucho mi vida ,1/30/2024
Te amo eres mi crush ❤️,1/30/2024
te amo valentine ,2/9/2024
Te amo valico🦧💗,1/25/2024
Eres mi alma gemela ,1/30/2024
se tqm!!,2/8/2024
Te amo negra 💗,2/3/2024
"TQM Gabito,valoro tu amistad ♡",2/7/2024
Para la mejor hermana 💗,2/7/2024
De parte del emprendimiento ,2/8/2024
Te amo mucho mi amor ,2/1/2024
Felíz San Valentin mi pequeño,1/26/2024
"Feliz San Valentin, Chino ",1/25/2024
love u bestie,2/8/2024
yaya mija ya,2/8/2024
Gracias por ser la mejor herma,2/9/2024
Mi amor lindo 💕,2/9/2024
Te quiero lesbiana,2/8/2024
Te amo demasiado mi niña muak💗,2/5/2024
Gracias por hacerme feliz tqm.,2/8/2024
te amo nena <3,2/1/2024
Te amo ❤️,2/7/2024
Je t'aime mon beau garçon❤,1/29/2024
"te amo mucho, lindo ❤️",2/6/2024
feliz san valentín pria tqm,2/6/2024
T quiero mucho Emilu ❤️‍🩹,2/6/2024
❤️❤️❤️❤️,2/6/2024
te amo mucho princesa,1/27/2024
Te amo corazón ,2/1/2024
De tu ñañito❤️🌹,2/9/2024
TE AMO UN MUNDO <3,1/25/2024
Brillas sola como estrella 💫 ,2/7/2024
Cami te ama. ,1/30/2024
me caes bien o algo así ,2/9/2024
Eres tan lindo como lonely day,2/2/2024
Te amo muchote emyy,2/9/2024
Se te quiere amiga 😢 💓,2/9/2024
Te amo guapa <3,1/30/2024
Te amo mucho bonita,2/7/2024
Te amo mi chiquito lindo,2/2/2024
Te amo My love ,2/8/2024
EQYTQAT...,2/1/2024
Tq bebote ,2/8/2024
Te queremos mucho!!,2/9/2024
"Te amo Eme, eres hermosa tqm.",1/31/2024
Te quiero mucho mi Catita <3,2/5/2024
Eres mi persona favorita 💕 ,1/30/2024
Te extraño,2/1/2024
Siento algo por ti <3,2/5/2024
mi juli linda feliz dia ,2/1/2024
"Mi Romi, feliz 14, muak",1/25/2024
"cochina, te adoro.",1/26/2024
Te quiero muchooo mi niño,2/5/2024
"Te amo, mi hermosa novia<3",1/25/2024
Enano,2/6/2024
Supera ,2/9/2024
Te amo turrón ,2/7/2024
Tqm❤️,2/8/2024
gracias por todo mi vida ❤️‍🩹,1/31/2024
Chococorazones para ti jiji,2/5/2024
Te quiero mucho <3  Muak ,2/8/2024
Anifer tqm que la pases bello.,1/30/2024
Para mí gay fav,1/28/2024
Te amamos huesitos 😘🦴,2/8/2024
te amo adrianooo mua mua,1/25/2024
Tqm póster tú eres mi  amiga ,2/2/2024
Te quiero linda <3,2/9/2024
De tu Teo para mi nena ,2/6/2024
Un beso y una manociada,1/26/2024
Te amo mucho.,2/5/2024
te amo juanito ,1/26/2024
te amo,2/3/2024
Mi Pardo c: ,1/28/2024
Feliz San Valentin!!!,1/30/2024
te adoroo,2/7/2024
Pa la morena más linda de toas,2/5/2024
TKM. ♡,2/8/2024
Love youuu,2/9/2024
ABCDEFGHIJKLMNOPQRSTUVWXYZ,2/4/2024
Feliz 14 de febrero hermosura,1/30/2024
Te quiero <3,2/7/2024
Para mi why_dany ❤ ,2/1/2024
Ig: _nickyy.sb_,2/7/2024
Te amo mucho linda,2/9/2024
Feliz san valentin peque ,2/8/2024
Gracias por slvarme. Te amo,1/26/2024
La mejor novia de el mundo,2/7/2024
Loveuu,2/8/2024
Tqm Isa♡,2/1/2024
love u,2/5/2024
Para la mejor basquetbolista ❤️,2/7/2024
quiero tener un cuarto recuedo,2/7/2024
Oña 🐧🐷,2/4/2024
lol?,2/6/2024
🤍,1/29/2024
Para mi amiguita🫶,2/7/2024
Pijamadita?,2/9/2024
Te amo mucho amiguita ,1/30/2024
Love uuu mejora ,2/8/2024
Después hablamos si? ,2/5/2024
te amo mordelona 🤍,2/8/2024
Feliz san valentin a todos ,1/30/2024
Feli dia cucos 😘,2/5/2024
Que lo disfrutes meja :D,2/5/2024
te amo cada vez más <3 ,2/1/2024
T amo bonito,2/1/2024
Feliz día chakalite tqm,2/7/2024
Tqm mi tilina <3,2/8/2024
Te quiero mucho (D),2/1/2024
Love u💕 ,2/7/2024
Feliz san valentin,2/7/2024
Tqm  gracias por consolarme 💛,2/8/2024
Te amo mi rebeee te extraño ,2/7/2024
tqm negro <33 ,2/8/2024
Te amo mucho mi valentine,2/9/2024
Siempre seras tu-H,2/6/2024
Feliz dia gabonito nito tqm,2/7/2024
"Mi Dio, c t ama wawita, muamua",1/25/2024
Tqm Sofi 🤍,2/9/2024
Que más ve jaja,1/30/2024
t amo mi yuli feliz diaaaaaaaa,2/1/2024
 Espero te guste 👍 ,2/2/2024
Poste de luz,1/26/2024
Con mucho más cariño hermosa ,2/8/2024
Te amo mucho,2/5/2024
T amo ñaña,1/26/2024
pareme bola linda :(,2/8/2024
gracias x ser mi amiga tqm  :),2/1/2024
Feliz día chiquita te amo ❤️,2/3/2024
No puedo dejar de pensarte.,2/10/2024
Solo por existir♥️,2/6/2024
Porquetúcambiaste miuniverso<3,2/7/2024
Estás bien guapo ,2/8/2024
Te quierooo <3 ,2/2/2024
Te amo princesita ,2/8/2024
"Primo, eres como un hermano ",2/8/2024
te quiero mucho 💕 ,2/7/2024
Rompiendo el invicto 🫶🏻,1/31/2024
tu primito favorito 💋,2/5/2024
Te amo Yuli,2/6/2024
Eres la unica mi amor 💕,2/10/2024
"Feliz día amor mioo, te amo <3",2/1/2024
T amo mi corazón,2/8/2024
Te amo mucho rafita preciosaa,1/27/2024
Valu💖🫶🏼,2/7/2024
"Gracias por todo, tqm <3",2/9/2024
Persona importante en mi heart,1/31/2024
ª,2/7/2024
Una flor para otra flor🤪🥺🥀,2/8/2024
Martineka gracias por estar 💗,2/1/2024
aloooo Dani,1/31/2024
te amo bonita mía ,2/1/2024
Feliz día Alfon ,2/8/2024
Te quiero mucho mi su 🤍,1/25/2024
Te adoro Chofi,2/9/2024
Pichu rico ,2/6/2024
Te amo ❤️,2/6/2024
Con amor para ti guapa 💗,2/6/2024
Grosero,2/5/2024
No lo mal interpretes,2/9/2024
Por si tu novio no te da una:),2/1/2024
te amo hermana ,2/1/2024
"Te amo amor mio, disfruta<3",2/7/2024
Tamo con cada pedacito de mi ❤️‍🩹,2/5/2024
Estudiaaaa ;),1/26/2024
Feliz día ,2/7/2024
Tqm mi Atlantis ♡ (pelioque?),2/6/2024
Tú me endulzas la vida a mi 💗,1/30/2024
Feliz San Valentín personita ,2/8/2024
Para la más odiosa:),2/9/2024
T quiero mucho ,2/4/2024
te quiero muchisimo Ale ♡,2/5/2024
Te amo Nicoleta  Beso,2/8/2024
Gracias Mima por Mimarme :D,2/1/2024
Ojos lindossss,2/8/2024
Te amo mi princesa ✨💞,2/2/2024
Hola mi amor t amo mucho ,2/7/2024
no dejes de sonreír por un 🥚,2/1/2024
"te amo, ten un bonito dia amor",1/25/2024
ola nalgona,2/7/2024
CHANCHEZZZ,2/7/2024
Caes bien :),2/7/2024
Te amo mucho,1/30/2024
algo barato como tu vv.,2/9/2024
para mi otra mitad 💓,2/8/2024
"TQM, gracias por ser mi amiwis",2/7/2024
Pásala bien con cariño! ,2/9/2024
Te quiero mil mundos 💌,2/1/2024
Te aprecio mucho :),2/9/2024
Te quiero un mundo mwahh <3,2/8/2024
Feliz Dia de San Valentin 💗,2/2/2024
TQM Camuchicha,2/8/2024
"Flor por linda, mua",2/2/2024
Feliz día Aniss tqm 💗,2/9/2024
Para el mejor amigo ,2/7/2024
Feliz San Valentín primo. TQM,2/5/2024
Feliz día mi vida.❤️,2/9/2024
feliz diaaa,1/26/2024
Mi bombonsoteee muak,2/1/2024
6 dolares esa hvd,2/8/2024
Que disfrutes manzanilla 😊,2/7/2024
Tu hermanita bella. Te amo,1/25/2024
De tdo corazon para ti mi niña,2/7/2024
tqm niña linda💓,1/30/2024
Matate,2/6/2024
tqmm Tamiii Mi real ;),2/4/2024
Te amo vro,2/5/2024
Tqm<3,1/30/2024
Te amo cosita ,2/3/2024
Feliz día negrito tq,2/6/2024
tamo espose,1/31/2024
eres la mejor nunca lo olvides,2/6/2024
Feliz san Valentín tq,2/9/2024
disfrutalo uwu,2/9/2024
Tqm mi nath bella🩷,2/2/2024
Amor a primera vista 😘,2/9/2024
Te amo mi chiquito feliz día ❤️,2/6/2024
Te quiero un mundoo,2/7/2024
Te quiero Gaby ,2/9/2024
♡ tq no me pegues con la lira♡,2/7/2024
Feliz día chakalita tqm ❤️,2/5/2024
Te amo Loretico,1/25/2024
se te quiere loquita,2/6/2024
Te quiero mucho mi Jirafita ❤️,2/8/2024
Juegas muy bien y eres linda ,2/7/2024
Sorprendida ,2/7/2024
tqm Rafaaa,1/27/2024
Te amo mi dupla fav jaja 🌷,2/5/2024
":)  Feliz día, Te quiero mucho",1/31/2024
Tq cachudo ,1/27/2024
Epms tqm,2/8/2024
que la pases bien ,2/8/2024
te amo naniiiii 💗,2/8/2024
Holaaaaa,2/5/2024
tq,2/9/2024
Eres mi más linda coincidencia,2/5/2024
Feliz dia tami 💗,2/6/2024
Te quiero hermanita mayor <3,2/9/2024
"Te extraño mome, tqm<3",2/8/2024
Para ti preciosa❤️,2/1/2024
Tu mejor amiga te ama mucho ,2/8/2024
QUE BELLAZ PIERNAS MI GIMSIS,1/29/2024
Seamos amigos😔  Perdón ,1/30/2024
te quiero ñañita,1/30/2024
Disfrutas las gomitas :D ,2/8/2024
Si me quieres dame una nalgada,2/7/2024
"Feliz día, tu amiga secreta",2/8/2024
Disfruta este San Valentín!,1/30/2024
Ya sabes quien soy amor ,1/31/2024
El amor de tu vida obvio ,2/5/2024
nunca me faltes ,2/7/2024
"Feliz día mi vida, te amoo 💜",2/4/2024
Feliz navidad 😍,2/7/2024
Gracias por todo te amo mivida,2/8/2024
Espero estes bien dayanitaa <3,2/9/2024
Gracias por su ayuda <3,2/9/2024
"Tqm Giuliiiiii, eres lo mejor ",2/7/2024
04-02-2022,1/25/2024
"Sorpresa boba, te amo",2/9/2024
Para mí Santiaguito hermoso,2/6/2024
..,2/8/2024
Te quierooo niñaa💕,1/26/2024
Estaba viendo el pajaro,2/10/2024
Disfruta,2/10/2024
tqm tontito❤️,2/8/2024
Feliz San Valentin Karlita,1/30/2024
Te amo emy guapa ,2/9/2024
Te amo amor mioooo,1/26/2024
Grasias por tu amistad <3,2/8/2024
"Te amo, esto es para ti <3",1/25/2024
Ya besatela,2/5/2024
Gracias por tu amistad :),2/1/2024
Ho Ho hola Fiore ,1/30/2024
Para tu novia ctm es el plan B,2/3/2024
Te quiero mucho titu <3,2/8/2024
Para mi Bestia Fav,1/30/2024
I love your eyes,2/8/2024
"Eres un falso, tqm mejor amigo",2/1/2024
Te extraño mucho Cami,2/2/2024
La mejor de las mejores ,2/2/2024
TE AMO! <3 por muchos MK3,2/2/2024
"Te amo, 100pre estarás en mi<3",2/8/2024
Perdón por todo ,2/7/2024
Feliz día brooo :D,1/27/2024
Coincidir aquel día :'3,1/30/2024
Disfruta ,2/5/2024
tres rosas para ti miamorsh ,1/26/2024
No todo tiene que salir mal ,1/28/2024
Te amo muuuuuucho mi amor 💗💗💗💗,2/2/2024
Feliz San Valentín 💗,2/2/2024
Feliz San Valentín abisitaaaa,2/7/2024
Se le quiere mucho 💐,2/7/2024
Juli porfavor ayudame en mate😏,2/5/2024
Te amo Martinoli  ,1/30/2024
feliz san valentin ,2/6/2024
Feliz San Valentín :) ,2/9/2024
Para el más guapo 😘,1/30/2024
Te quiero y gracias por estar ,2/5/2024
♡♡♡,2/7/2024
Gracias por la amistad emita,2/7/2024
T amo 💜💜💜,2/7/2024
A que sabia el aguacate?,2/6/2024
Tqm<3333,1/26/2024
"No soy yo, te amo negrita 💗",1/29/2024
Que lo disfrutes mi Auqui-_-,2/8/2024
te amo camiluu,2/5/2024
Feliz san Valentín ñaña <3,2/5/2024
te adoro amor de mi vida❤️,2/8/2024
Por bonita te lo mereces ,2/1/2024
Te amo guapa preciosa ,1/31/2024
Admite q eres color carton,2/7/2024
te amu menso<3,1/30/2024
Soy de tu grado :),1/29/2024
te quiero mucho macaaaa,2/2/2024
Tqm Isa,2/8/2024
Ale tumba maletas,2/9/2024
N,2/8/2024
"Ich liebe dich,my pricess",2/6/2024
Gracias x todo Jose ,2/3/2024
te amo para siempre mi lindooo,2/7/2024
Te amo Cristelota🎀💗,2/7/2024
Siempre te voy a proteger♡,2/8/2024
Tqm mi Emy linda te extraño 🫀,2/2/2024
Para Emiliana jajaja ,1/30/2024
te amo mucho mi amor ❤️,2/6/2024
Un día te vi y no te olvido <3,2/2/2024
Feliz San  Valentín insano,2/9/2024
Feliz San Valentín ✨🌻,2/6/2024
Te quiero mucho 😍,2/2/2024
A,2/2/2024
Disfrutelo tits ,2/1/2024
Te voy a llevar al mr joy amor,1/25/2024
Te amo cara de kk,2/9/2024
Feliz San Valentín Juandididid,2/8/2024
Feliz dia amor te amo💗,2/3/2024
TQM Agus <3,2/7/2024
Happy Valentines Day,2/6/2024
Te amo mucho mi niña hermsoa ❤️,2/9/2024
Te quiero,2/2/2024
mi enana fav jaja ,2/7/2024
Te Quiero mucho Anto <3,2/7/2024
Para ti amistad ,2/8/2024
.......🫶🏽,2/7/2024
Te quiero mucho Em de mi vida ,2/5/2024
Banquitooooo,2/1/2024
Zorra estúpida bastarda te amo,2/5/2024
Para el amor de mi vida tqm 💕,1/25/2024
Feliz San Valentín guapa ❤️,2/2/2024
Disfruta este día tan especial,2/9/2024
"Para q novio, aquí estoy yo 🫶",2/6/2024
Te AMOO ,2/6/2024
Tamo muchísimo ,2/9/2024
Para ti💕,2/1/2024
te amu Nati Natasha <3,2/1/2024
Disfrutarass 😋,2/5/2024
t quiero bro,2/9/2024
Pa cuando un voley? TQM sofi,2/9/2024
Te quiero de aquí a la Luna 💗,2/8/2024
Feliz san valentin profe,1/29/2024
Feliz diaa kerly,2/9/2024
Te amo pepona!!!,2/5/2024
autista,2/7/2024
Jijiji,2/6/2024
te amoo,1/31/2024
<3<3<3<3<3<3<3<3<3<3<3,2/7/2024
Te amo 💖💖,2/7/2024
muak,2/2/2024
Te amo mi Valecita guapa ,2/7/2024
uy uy uy uy uy uy ,1/26/2024
"de tu real, beso de payaso ",2/1/2024
Feliz san Valentin ratita,2/4/2024
Feliz día ly,1/30/2024
Te quiero mucho mi corazón  💗,2/4/2024
Eres el amor de mi vida :),2/7/2024
Te quiero mucho mucho,2/8/2024
De: L.C. Para: Nieto :),1/31/2024
T.Q.M MI VIDE♥,2/7/2024
Te amo Rafa eres única 💗,1/26/2024
Tamo amore della mia vita🧡🍄.,1/30/2024
Atte: el fan de The Weekend,2/5/2024
Tqm corazón 💕,2/5/2024
Tqm 🫶🏼,2/6/2024
toma mi amore,2/7/2024
Un regalito por la otra vez♥ ,2/7/2024
tqm minion minda🫶,2/7/2024
Te amo admv :3,2/8/2024
Tqm 03,2/10/2024
Tqm me saludas a todos ,2/5/2024
Ojala y me ayuden a ahorrar 🙏 ,2/1/2024
Feliz San Valentín lol,2/1/2024
Para mi amigo el travesti JAJA,2/7/2024
Te quiero un mundo mi chetitos,2/8/2024
Te amo mucho 🫶💗,1/31/2024
Te amo mucho niño lindo  ,2/9/2024
Feliz San Valentin 🫶🏻,2/9/2024
Feliz día,2/9/2024
te amo gatito 🖤,2/7/2024
Te amo ❤️,1/31/2024
Te mando gomitas en anonimo ,2/2/2024
tamo mi lulululu,2/7/2024
Eres el mejor 👍,1/26/2024
Te quiero mucho amigo 🥰,2/9/2024
Tu persona favorita😉,2/9/2024
FC :),2/6/2024
Disfruta este día bot :),1/31/2024
Doy td por ese culo,1/27/2024
Te amo mi mona hermosa <3,2/7/2024
espero te guste con cariño gat,2/8/2024
Te quiero mi pelirroja ,2/7/2024
Huevo,1/25/2024
te amo ,2/9/2024
TE AMO BB SE MI NOVIA ❤️,2/7/2024
@fes4tts ,2/5/2024
Toma romi💋,1/27/2024
"Peguamonky, LOVIU x300000000  ",1/29/2024
Domete amo gracias por existir,2/8/2024
T quiero <3,2/5/2024
Feliz dia mi niña te amoo <3,1/30/2024
Tqm ❤️,2/8/2024
Te amo mucho ,2/9/2024
💗,1/31/2024
Una rosa para otra rosa<3 ,2/8/2024
Holi mi insta: valen._jen,2/8/2024
tqm <3,2/8/2024
Te quiero mucho cobitos ღ,1/30/2024
tqm Juanito<3,2/1/2024
Dome  TE QUIERO FULL,2/2/2024
Te amo mi pony hermos ,2/5/2024
Tqm ,2/5/2024
Te quiero mi peli negra jsjsjs,1/31/2024
Te amo mi vide,2/7/2024
te amo precioso ,1/31/2024
"Mi ramitas, le amooo",2/7/2024
Ly mi Sof❣️,1/30/2024
Te quiero demasiado.   ,2/8/2024
Feliz San Valentín <3,2/2/2024
Estoy muy orgullosa de ti ❤️✨,2/1/2024
So sweet:),2/6/2024
Te quiero 💕,2/5/2024
to my little secret \ (•◡•) /,2/8/2024
me tienes loco ,2/5/2024
Pablo tqm un fornite,2/7/2024
Te amo cada día más ❤️,2/5/2024
❤❤,2/6/2024
Feliz San Valentín y cumpleaño,2/7/2024
te lo prometi ,2/9/2024
Tqm mi noah,2/9/2024
TQM <3,1/30/2024
Te quiero muchísimo bestii,2/3/2024
Tqm y extraño un mundo <3,1/31/2024
Mi buenamor  Mi pecas  Teamo<3,2/8/2024
"Holi, esto es una indirecta ;)",2/7/2024
Para conocernos!?,2/7/2024
Happy birthday 🎉 ,1/26/2024
Erres chevere CHANTIII. JSJJSJ,1/25/2024
"Milly te extraño, volvamos",1/31/2024
Tqm Alecita nunca cambies 💗,2/8/2024
Te quiero mucho Ambi ,2/9/2024
Te amo mi pau,2/6/2024
Feliz día corazón :),2/8/2024
Pa mi hermano el mejor ,2/6/2024
Feliz San Valentín Muchacha💗💗,2/8/2024
TE AMO MUCHO MI AMOOOR ❤️,2/6/2024
Eres muy lindo.,2/7/2024
Para ti linda te quiero mucho ,2/6/2024
Para mi niña de ojos bonitos<3,2/4/2024
Feliz Día ♡,2/9/2024
te amo<333,2/8/2024
Te amo Anita Paula 💗🥰,2/3/2024
te amo vv,2/2/2024
Nadie me obligó a nada ಠ⁠ω⁠ಠ,2/6/2024
"Ya llegará la fiel, no llores ",2/8/2024
"Te amo, desde que entraste a 8",2/4/2024
"me debes 3,5 y el billete de 2",1/29/2024
U are my bestie ,2/1/2024
 TE AMO,2/7/2024
Mis ojitos galacticos,2/7/2024
Tamo mj amiga 🐿️💛.,1/30/2024
Feliz san valentin enanita <3,2/7/2024
Que tengas un lindo dia cariño,2/8/2024
gracias por estar siempre,1/30/2024
TQM♥,2/8/2024
"Ten un lindo díaaa, te quiero",1/30/2024
"Para ti, mi bonita 🫶",2/2/2024
De david Piensa que es el lind,2/9/2024
Eres muy especial para mí.,2/5/2024
Te quiero mucho hermana,1/25/2024
..,2/6/2024
Damm💗,2/5/2024
Para mi bobita linda ,2/2/2024
Tu portero estrella,2/5/2024
Gracias por ser mi mejor amigo,2/5/2024
Feliz día mi Ale 💕,2/9/2024
